date,rain,tg,sm,sp,fl
2/21/1980,0,-4.266322293,436.6251636,121.6345585,5.84
2/22/1980,0,-5.032302189,435.9728406,121.6345873,5.69
2/23/1980,0,-3.406682431,435.4507063,121.634631,5.67
2/24/1980,0,-4.964840826,434.9163346,121.6346713,5.67
2/25/1980,0,-4.833690791,434.2423973,121.634704,5.94
2/26/1980,0,-4.303123939,433.6657993,121.6347493,6.21
2/27/1980,0,-5.241615987,433.2291745,121.6348022,6.26
2/28/1980,0,-7.061725155,432.7769602,121.6348626,5.65
2/29/1980,0,-7.608548571,432.2468788,123.0533793,5.77
3/1/1980,0.020941534,-5.709331006,431.7834703,125.714918,5.78
3/2/1980,0.112142361,-1.807347365,431.7984772,125.098423,5.77
3/3/1980,0,0.015847137,431.2769778,127.3720443,6.04
3/4/1980,0,-5.29924648,430.9236928,129.1691145,5.18
3/5/1980,0,-8.035028035,430.3984143,129.1829918,4.79
3/6/1980,0,-6.963890837,429.6727324,129.189978,4.98
3/7/1980,0,-4.744205145,429.1640169,130.843016,5
3/8/1980,0.020459879,-3.15227625,428.6350886,132.0087634,4.84
3/9/1980,0.104416057,-1.478301696,428.4403641,131.4599235,5.62
3/10/1980,0.031341602,-0.114930666,427.9876544,131.5489371,7.66
